id,suite,label,risk,risk_source,layer,head,null_bias,beta,m_null,entropy,psi,spectral_gap,head_selected,mix_alpha,phi_penalty_mean,null_value_norm
benign-1,benign,benign,0.06287973277053556,probe_latent,16,11,4.1830680856946856e-05,1.0000157356262207,0.06811857968568802,2.2145543098449707,-0.3574155271053314,0.9249858260154724,1.0,0.55,0.0012253915192559361,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,12,4.1830680856946856e-05,1.0000157356262207,0.0715971514582634,1.509674310684204,-0.5412147641181946,0.9323456287384033,1.0,0.55,0.0012253915192559361,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,13,4.1830680856946856e-05,1.0000157356262207,0.02624858170747757,2.236271381378174,-0.27962276339530945,0.8647683262825012,1.0,0.55,0.0012253915192559361,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,14,4.1830680856946856e-05,1.0000157356262207,0.044179778546094894,1.9347916841506958,-0.3470720946788788,0.7206736207008362,1.0,0.55,0.0012253915192559361,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,15,4.1830680856946856e-05,1.0000157356262207,0.016019463539123535,0.5817057490348816,-0.8767900466918945,0.9626826047897339,1.0,0.55,0.0012253915192559361,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,0,4.1830680856946856e-05,1.0000157356262207,0.08430416136980057,1.5756617784500122,-0.5624701380729675,0.9486643671989441,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,1,4.1830680856946856e-05,1.0000157356262207,0.09098825603723526,1.2048344612121582,-0.6210057735443115,0.9351411461830139,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,2,4.1830680856946856e-05,1.0000157356262207,0.041209626942873,0.6943311095237732,-0.809382438659668,0.9333994388580322,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,3,4.1830680856946856e-05,1.0000157356262207,0.06633126735687256,0.7176558971405029,-0.7829655408859253,0.9796249866485596,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,4,4.1830680856946856e-05,1.0000157356262207,0.018802059814333916,0.7076674699783325,-0.8578521013259888,0.9802778959274292,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,5,4.1830680856946856e-05,1.0000157356262207,0.008159087039530277,1.6889545917510986,-0.4141440987586975,0.7250756621360779,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,6,4.1830680856946856e-05,1.0000157356262207,0.25095343589782715,1.5811131000518799,-0.2861103415489197,0.9725252389907837,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,7,4.1830680856946856e-05,1.0000157356262207,0.04029945284128189,2.2478115558624268,-0.18720003962516785,0.7982325553894043,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,8,4.1830680856946856e-05,1.0000157356262207,0.11211894452571869,1.007394552230835,-0.6506392955780029,0.9596939086914062,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,9,4.1830680856946856e-05,1.0000157356262207,0.06058827042579651,1.0877563953399658,-0.7148622274398804,0.9701035022735596,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,10,4.1830680856946856e-05,1.0000157356262207,0.017107363790273666,1.0313762426376343,-0.7807972431182861,0.9613515734672546,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,11,4.1830680856946856e-05,1.0000157356262207,0.056150440126657486,2.1842894554138184,-0.4002855718135834,0.9333642721176147,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,12,4.1830680856946856e-05,1.0000157356262207,0.05679021775722504,1.5907845497131348,-0.5373833179473877,0.8928534984588623,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,13,4.1830680856946856e-05,1.0000157356262207,0.028166381642222404,2.162353277206421,-0.34035372734069824,0.8703908920288086,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,14,4.1830680856946856e-05,1.0000157356262207,0.04350316524505615,1.5856754779815674,-0.5427616834640503,0.8302175402641296,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,15,4.1830680856946856e-05,1.0000157356262207,0.010290153324604034,0.7382484674453735,-0.849784255027771,0.9482746720314026,1.0,0.55,0.0012226616963744164,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,0,4.1830680856946856e-05,1.0000157356262207,0.07500163465738297,1.7339863777160645,-0.530398428440094,0.9309471845626831,1.0,0.55,0.0010984872933477163,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,1,4.1830680856946856e-05,1.0000157356262207,0.08776296675205231,1.2748260498046875,-0.6138613820075989,0.9569010734558105,1.0,0.55,0.0010984872933477163,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,2,4.1830680856946856e-05,1.0000157356262207,0.07640661299228668,1.587294578552246,-0.4171670079231262,0.7218298316001892,1.0,0.55,0.0010984872933477163,3.816615104675293
