setting_id,layers,heads,risk_threshold,eta_null,beta_collapse,lambda_penalty,null_value_mode,intervention_mix,phi_mode,score,m_null_separation,jailbreak_m_null,benign_m_null,mean_entropy,mean_spectral_gap,jailbreak_length_delta,benign_length_delta,intervention_asr_proxy,intervention_frr_proxy,suggested_benign_utility_loss,intervention_nonsense_rate
s014,5,all,0.34,1.5,1.5,0.15,calibrated_refusal,0.55,positive_logits,-0.8444915976074276,0.03050840239257234,0.046078784170607415,0.015570381778035073,2.2897891052610553,0.8599921565813322,-11.5,-9.0,0.0,0.0,0.8333333333333334,0.5
s070,5,all,0.42,2.0,2.0,0.15,calibrated_refusal,0.55,positive_logits,-0.8451064450992513,0.0611435549007487,0.07530396404763712,0.014160409146888419,2.2737395177052044,0.8613194762341058,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
s052,5,all,0.34,2.0,2.0,0.15,calibrated_refusal,0.55,positive_logits,-0.8451236448595034,0.061126355140496635,0.07689013715851256,0.015763782018015923,2.2245193455989165,0.8604855985225489,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
s026,5,all,0.42,1.5,1.5,0.15,calibrated_refusal,0.55,positive_logits,-0.8467248041902811,0.028275195809718906,0.04286935675604961,0.014594160946330703,2.3064848732513683,0.8608264474896714,-12.0,-9.0,0.0,0.0,0.8333333333333334,0.5
s064,5,all,0.42,2.0,2.0,0.15,calibrated_refusal,0.55,positive_logits,-0.8508539222828242,0.05539607771717582,0.06999204446573586,0.014595966748560034,2.2598967868834734,0.8606721692485735,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
s007,5,all,0.26,1.5,1.5,0.15,calibrated_refusal,0.35,positive_logits,-0.8545158406363493,0.020484159363650653,0.031321511005149225,0.010837351641498572,2.3220402879718067,0.860184201427425,-12.0,-9.0,0.0,0.0,0.8333333333333334,0.5
s019,5,all,0.34,1.5,1.5,0.15,calibrated_refusal,0.35,positive_logits,-0.8546349645239176,0.020365035476082323,0.029773780045245717,0.009408744569163395,2.338314570564156,0.8604006408325707,-12.0,-9.0,0.0,0.0,0.8333333333333334,0.5
s001,5,all,0.26,1.5,1.5,0.15,calibrated_refusal,0.35,positive_logits,-0.8551883700842697,0.019811629915730263,0.03118511364295955,0.011373483727229287,2.3150578587277173,0.8599779631088799,-12.0,-9.0,0.0,0.0,0.8333333333333334,0.5
s031,5,all,0.42,1.5,1.5,0.15,calibrated_refusal,0.35,positive_logits,-0.855521290640259,0.019478709359741074,0.02849578799432777,0.009017078634586699,2.346834683480362,0.8605421431905901,-12.0,-9.0,0.0,0.0,0.8333333333333334,0.5
s013,5,all,0.34,1.5,1.5,0.15,calibrated_refusal,0.35,positive_logits,-0.855636675843975,0.01936332415602509,0.029271748571376106,0.009908424415351015,2.331308158347383,0.8601947016237925,-12.0,-9.0,0.0,0.0,0.8333333333333334,0.5
s025,5,all,0.42,1.5,1.5,0.15,calibrated_refusal,0.35,positive_logits,-0.8570066942554914,0.017993305744508664,0.027280498752952555,0.00928719300844389,2.3425789685958684,0.8603606165464347,-12.0,-9.0,0.0,0.0,0.8333333333333334,0.5
s027,5,all,0.42,1.5,2.0,0.15,calibrated_refusal,0.35,positive_logits,-0.8583951922396426,0.016604807760357394,0.025668164348017504,0.00906335658766011,2.3207590067953183,0.858434293923589,-11.2,-9.0,0.0,0.0,0.8333333333333334,0.5
s047,5,all,0.26,2.0,2.5,0.15,calibrated_refusal,0.35,positive_logits,-0.8617679640491652,0.04448203595083474,0.05550357486128532,0.011021538910450582,2.2519822614461495,0.8605113976324598,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
s059,5,all,0.34,2.0,2.5,0.15,calibrated_refusal,0.35,positive_logits,-0.8624309658115301,0.04381903418846989,0.05301146969691968,0.009192435508449786,2.291316058137454,0.8605755210931724,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
s041,5,all,0.26,2.0,2.5,0.15,calibrated_refusal,0.35,positive_logits,-0.8631135994212181,0.0431364005787819,0.05439645410112248,0.011260053522340581,2.230754687819475,0.860109451537331,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
s053,5,all,0.34,2.0,2.5,0.15,calibrated_refusal,0.35,positive_logits,-0.865086425934566,0.04116357406543405,0.05070285280431234,0.009539278738878288,2.2697441745355413,0.8600562386369954,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
