risk_source,risk_threshold,eta_null,kappa,lambda_penalty,beta_base,beta_collapse,null_key_scale,null_value_scale,normalize_hidden,benign_collapse,benign_complex_collapse,direct_jailbreak_collapse,obfuscated_jailbreak_collapse,long_context_jailbreak_collapse,jailbreak_collapse,score,mean_m_null_benign_complex,mean_m_null_jailbreak
surface,0.18,4.0,8.0,0.25,1.0,2.5,0.0,0.0,0,0.21428571428571427,0.0,1.0,1.0,1.0,0.75,0.6964285714285714,0.18602824774339452,0.6787002702060523
surface,0.18,4.0,8.0,0.25,1.0,4.0,0.0,0.0,0,0.2857142857142857,0.25,1.0,1.0,1.0,0.75,0.4285714285714286,0.23082678294149056,0.7706408268544682
surface,0.18,4.0,18.0,0.0,1.0,2.5,0.0,0.0,0,0.21428571428571427,0.0,1.0,1.0,1.0,0.75,0.6964285714285714,0.15552354005442692,0.739255717893475
surface,0.18,4.0,18.0,0.0,1.0,4.0,0.0,0.0,0,0.2857142857142857,0.25,1.0,1.0,1.0,0.75,0.4285714285714286,0.19997947883048525,0.7851070944442636
surface,0.18,4.0,18.0,0.1,1.0,2.5,0.0,0.0,0,0.21428571428571427,0.0,1.0,1.0,1.0,0.75,0.6964285714285714,0.1577854224919722,0.7422645563212159
surface,0.18,4.0,18.0,0.1,1.0,4.0,0.0,0.0,0,0.2857142857142857,0.25,1.0,1.0,1.0,0.75,0.4285714285714286,0.20273769088367566,0.786503786747838
surface,0.18,4.0,18.0,0.25,1.0,2.5,0.0,0.0,0,0.21428571428571427,0.0,1.0,1.0,1.0,0.75,0.6964285714285714,0.1611878715404672,0.746487159702105
surface,0.18,4.0,18.0,0.25,1.0,4.0,0.0,0.0,0,0.2857142857142857,0.25,1.0,1.0,1.0,0.75,0.4285714285714286,0.20681701523703316,0.788556885637112
surface,0.18,4.0,30.0,0.0,1.0,2.5,0.0,0.0,0,0.2857142857142857,0.25,1.0,1.0,1.0,0.75,0.4285714285714286,0.16080827649660612,0.7585941722207966
surface,0.18,4.0,30.0,0.0,1.0,4.0,0.0,0.0,0,0.2857142857142857,0.25,1.0,1.0,1.0,0.75,0.4285714285714286,0.21040246540569127,0.781566366293987
surface,0.18,4.0,30.0,0.1,1.0,2.5,0.0,0.0,0,0.2857142857142857,0.25,1.0,1.0,1.0,0.75,0.4285714285714286,0.16301202701941195,0.7604656261633874
surface,0.18,4.0,30.0,0.1,1.0,4.0,0.0,0.0,0,0.2857142857142857,0.25,1.0,1.0,1.0,0.75,0.4285714285714286,0.21283861634401627,0.7824083434800172
surface,0.18,4.0,30.0,0.25,1.0,2.5,0.0,0.0,0,0.2857142857142857,0.25,1.0,1.0,1.0,0.75,0.4285714285714286,0.16631272697085844,0.7630408408066675
