risk_source,risk_threshold,eta_null,kappa,lambda_penalty,beta_base,beta_collapse,null_key_scale,null_value_scale,benign_collapse,benign_complex_collapse,direct_jailbreak_collapse,obfuscated_jailbreak_collapse,long_context_jailbreak_collapse,jailbreak_collapse,score,mean_m_null_benign_complex,mean_m_null_jailbreak
surface,0.18,20.0,8.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.105315630836215e-247,5.062948441856468e-118
surface,0.18,20.0,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6346965284941233e-301,4.4315959126973674e-173
surface,0.18,20.0,8.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.105315630836215e-247,5.302550510010623e-118
surface,0.18,20.0,8.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6346965284941233e-301,4.745693699842001e-173
surface,0.18,20.0,8.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.105315630836215e-247,5.6833810922030715e-118
surface,0.18,20.0,8.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6346965284941233e-301,5.2590709612525314e-173
surface,0.18,20.0,18.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2618242963841804e-204,3.9941741385491135e-127
surface,0.18,20.0,18.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5344577608545595e-215,2.0766070704273803e-192
surface,0.18,20.0,18.0,0.1,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2618242963841804e-204,4.202630410557477e-127
surface,0.18,20.0,18.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5344577608545595e-215,2.244500299082623e-192
surface,0.18,20.0,18.0,0.25,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2618242963841804e-204,4.535889895177389e-127
surface,0.18,20.0,18.0,0.25,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5344577608545595e-215,2.522131210838724e-192
